orig_index,raw_name,num_words,top20_candidates_with_score,possible_candidate,sex_at_birth,comment/reference,pronoun_denoting_gender,comment/reference.1,race_ethnicity,comment/reference.2,public_health_researcher,practitioner/clinician/physician,non_public_health_researcher,politician/govt service/policymaker,industry_expert,celebrity,journalist,comment/reference.3
64,advertisement mark,2,"[('mark fretz', 86), ('mark duggan', 86), ('mark greeven', 86), ('mark lewis', 86), ('mark handley', 86), ('mark green', 86), ('mark ghaly', 86), ('mark hurst', 86), ('mark jones', 86), ('mark wilson', 86), ('mark simon', 86), ('mark eisner', 86), ('mark jarrett', 86), ('nick mark', 86), ('mark ali', 86), ('mark naison', 86), ('saint mark', 86), ('mark dworkin', 86), ('mark carney', 86), ('mark rupp', 86)]",na,,,,,,,,,,,,,,Not a person
65,aeroflow breastpumps,2,"[('abe', 60), ('joel breman', 58), ('paolo benanti', 56), ('joe bresee', 54), ('amler', 54), ('tom brandt', 54), ('tom barnes', 54), ('florence ader', 53), ('carl bergstrom', 53), ('andrew beam', 52), ('mary o brien', 52), ('al gore', 51), ('geoff baird', 50), ('arturo bris', 50), ('alex marlow', 50), ('noel brewer', 50), ('tom brady', 50), ('andrew bates', 50), ('brit hume', 50), ('bret rudy', 50)]",na,,,,,,,,,,,,,,Not a person
66,african american,2,"[('amler', 72), ('mihran aroian', 66), ('armand dorian', 62), ('abe', 60), ('adrian', 60), ('amy', 60), ('frank atherton', 60), ('mara altman', 59), ('alan herman', 59), ('adriano decarli', 58), ('allison chamberlain', 57), ('anita kurian', 57), ('alan melnick', 57), ('abraar karan', 57), ('dorian alexander', 56), ('adrian bangerter', 56), ('marina abramovic', 56), ('michael ackerman', 56), ('arvind narayanan', 56), ('armida fernandez', 56)]",na,,,,,,,,,,,,,,Not a person
70,ahlul bayt,2,"[('rahul bharat', 73), ('carl batt', 63), ('ali', 60), ('jalal baig', 60), ('amy', 60), ('ala', 60), ('ram bhat', 56), ('ashley bautista', 56), ('ronald bayer', 55), ('danny avula', 54), ('anita allen', 54), ('michael l barnett', 54), ('alison bateman house', 54), ('bill barr', 53), ('atul malhotra', 52), ('kathie allen', 52), ('adil el tayar', 52), ('paolo benanti', 52), ('michael brady', 52), ('daniel batlle', 52)]",na,,,,,,,,,,,,,,Doesn't appear to be a person; possibily a news agency: https://www.google.com/search?q=ahlul+bayt+coronavirus&client=safari&rls=en&nfpr=1&source=lnms&tbm=nws&sa=X&ved=2ahUKEwjH5pHLosjsAhVFAqwKHY0aA8QQ_AUoAnoECAUQBA&biw=1680&bih=964
86,ala,1,"[('marc alain widdowson', 90), ('alan blinder', 90), ('alan lerner', 90), ('alan berger', 90), ('robert a salata', 90), ('alan deardorff', 90), ('alan melnick', 90), ('james alan fox', 90), ('alan campbell', 90), ('alan herman', 90), ('alaa swilam dubai', 90), ('alan erera', 90), ('alan rowan', 90), ('alan jones', 90), ('kamiar alaei', 90), ('alan kraut', 90), ('alan dershowitz', 90), ('alain gauthier', 90), ('alan v deardorff', 90), ('alan wu', 90)]",na,,,,,,,,,,,,,,
91,alan campbell,2,"[('ala', 90), ('alan wu', 86), ('caren campbell', 81), ('john campbell', 77), ('sheldon campbell', 76), ('james campbell', 74), ('david campbell', 74), ('marco cambielli', 64), ('alan melnick', 64), ('alfa sa', 64), ('alma moeller', 64), ('allison chamberlain', 62), ('aaron carroll', 62), ('damian caraballo', 62), ('paul calle', 61), ('ali', 60), ('amy', 60), ('abe', 60), ('michael callahan', 59), ('angela cornell', 59)]",na,,,,,,,,,,,,,,"Not sure which alan campbell, cant find any obvious hits on google news either"
95,alan herman,2,"[('ala', 90), ('alan wu', 86), ('alan erera', 76), ('alan rowan', 76), ('alan lerner', 73), ('allan lichtman', 72), ('anant bhan', 67), ('angela hernandez', 67), ('alison whelan', 67), ('allin khan', 67), ('alexandra phelan', 67), ('meilan han', 67), ('alison holman', 67), ('alan kraut', 67), ('allan randrup thomsen', 66), ('lisa hernandez', 64), ('alan berger', 64), ('allen cheng', 64), ('yuan herong', 64), ('alain gauthier', 64)]",na,,,,,,,,,,,,,,"Not sure which alan herman, cant find any obvious hits on google news either."
117,alex,1,"[('alexander l greninger', 90), ('alex brandonap', 90), ('alexandre bayen', 90), ('dorian alexander', 90), ('alexia harrist', 90), ('alexandre white', 90), ('alexandra cirone', 90), ('alex horton', 90), ('alex scott', 90), ('alexander kekule', 90), ('alex greninger', 90), ('alex ward', 90), ('alexis mcgill johnson', 90), ('alexei navalny', 90), ('alex marlow', 90), ('alexander halavais', 90), ('nicole alexander scott', 90), ('alexa mieses', 90), ('alexey avdonin', 90), ('alexander isakov', 90)]",na,,,,,,,,,,,,,,
136,alexander,1,"[('alexander l greninger', 90), ('dorian alexander', 90), ('alexander kekule', 90), ('alexander halavais', 90), ('alex', 90), ('nicole alexander scott', 90), ('alexander isakov', 90), ('karl alexander', 90), ('alexander huang chieh cheng', 90), ('alexander edwards', 90), ('alexander billioux', 90), ('preeya alexander', 90), ('alexander scott', 90), ('alexander morden', 90), ('alexander field', 90), ('alexander lukashenko', 90), ('peter alexander', 90), ('alexandre bayen', 80), ('alexandre white', 80), ('alexandra cirone', 80)]",na,,,,,,,,,,,,,,
139,alexander field,2,"[('alex', 90), ('alexander', 90), ('alexander huang chieh cheng', 86), ('alexander kekule', 77), ('alexander edwards', 75), ('karl alexander', 74), ('alexandre white', 73), ('alexander billioux', 73), ('alexander l greninger', 71), ('dorian alexander', 71), ('alexandra cirone', 71), ('alexander halavais', 71), ('nicole alexander scott', 71), ('alexander isakov', 71), ('alexandra phelan', 71), ('preeya alexander', 71), ('alexander scott', 71), ('alexander morden', 71), ('alexander lukashenko', 71), ('peter alexander', 71)]",na,,place,,,,,,,,,,,,
