orig_index,raw_name,num_words,top20_candidates_with_score,possible_candidate,sex_at_birth,comment/reference,pronoun_denoting_gender,comment/reference.1,race_ethnicity,comment/reference.2,public_health_researcher,practitioner/clinician/physician,non_public_health_researcher,politician/govt service/policymaker,industry_expert,celebrity,journalist,comment/reference.3
1083,daniel kim,2,"[('kim', 90), ('daniel leussink tokyo', 86), ('daniel fletcher', 86), ('daniel lopez regalado', 86), ('r daniel kelemen', 86), ('daniel gluckstein', 86), ('daniel schnieder', 86), ('daniel kuritzkes', 86), ('daniel winetsky', 86), ('daniel berliner', 86), ('robert j kim farley', 86), ('daniel schneider', 86), ('daniel scarparolo', 86), ('robert kim farley', 86), ('claire jean kim', 86), ('daniel rusyniak', 86), ('daniel aldana cohen', 86), ('daniel w drezner', 86), ('daniel grossman', 86), ('daniel mcquillen', 86)]",na,,,,,,,,,,,,,,
1090,daniel lucy,2,"[('daniel lucey', 96), ('daniel leussink tokyo', 86), ('daniel lopez regalado', 86), ('daniel gluckstein', 86), ('daniel scarparolo', 86), ('daniel aldana cohen', 86), ('daniel jolley', 75), ('daniel wallace', 72), ('pia daniel', 71), ('daniel kim', 71), ('daniel klein', 70), ('daniel crane', 70), ('daniel fletcher', 69), ('daniel rusyniak', 69), ('daniel tokaji', 67), ('daniel alpert', 67), ('daniel reaven', 67), ('r daniel kelemen', 67), ('daniel books', 67), ('daniel varga', 67)]",na,,,,,,,,,,,,,,
1129,darwin,1,"[('john dearing', 75), ('darien sutton', 75), ('drew', 68), ('daron cowley', 62), ('the diamond princess', 60), ('rachel darken', 60), ('daron shaw', 60), ('alfredo garzino demo', 60), ('mike dewine', 60), ('dorian alexander', 60), ('dawn emerick', 60), ('dean winslow', 60), ('anne deprince', 60), ('dario gil', 60), ('chris dawson', 60), ('david r williams', 60), ('michael dowling', 60), ('darius tahir', 60), ('kara dawson', 60), ('armand dorian', 60)]",na,,,,,,,,,,,,,,
1153,david clara amit,3,"[('david zieg', 86), ('david tan', 86), ('david nace', 86), ('david katz', 86), ('david ige', 86), ('david chao', 86), ('david kim', 86), ('david hill', 86), ('david ho', 86), ('amit uppal', 86), ('david byrd', 86), ('david dosa', 86), ('david hui', 86), ('david agus', 86), ('david clark', 74), ('davis', 72), ('david carter', 71), ('david m smith', 69), ('adam', 68), ('david abramson', 67)]",na,,,,,,,,,,,,,,
1183,david hoyer,2,"[('david hooper', 87), ('josue david cisneros', 86), ('david spiegelhalter', 86), ('david drew pinsky', 86), ('nicholas david thomas', 86), ('david llewellyn smith', 86), ('robert david siegel', 86), ('david ho', 84), ('david ryder', 82), ('david hamer', 82), ('david archer', 78), ('david rosser', 78), ('david chao', 76), ('david byrd', 76), ('david halpern', 75), ('david sherwyn', 75), ('david hepburn', 75), ('david merin', 73), ('david dowdy', 73), ('david dayen', 73)]",na,,,,,,,,,,,,,,
1192,david kim,2,"[('kim', 90), ('david kimberlin', 90), ('david schwartz', 86), ('david blumenthal', 86), ('david lubarsky', 86), ('josue david cisneros', 86), ('david spiegelhalter', 86), ('david michaels', 86), ('david greenberg', 86), ('david sullivan', 86), ('david eastwood', 86), ('david battinelli', 86), ('david eisenman', 86), ('david drew pinsky', 86), ('david o reilly', 86), ('david grabowski', 86), ('david goodsell', 86), ('david hargroves', 86), ('david clara amit', 86), ('david fiorenza', 86)]",na,,,,,,,,,,,,,,
1303,depp,1,"[('sean dempsey', 68), ('deepak chopra', 68), ('anne deprince', 68), ('dan epps', 68), ('farouk dey', 51), ('drew', 50), ('joshua denson', 45), ('barbara dipietro', 45), ('dagen mcdowell', 45), ('bernard devalois', 45), ('alfredo garzino demo', 45), ('mike dewine', 45), ('devi sridhar', 45), ('deborah cao', 45), ('nick desai', 45), ('john dwyer', 45), ('jayme deerwester cdc', 45), ('jan emmanuel de neve', 45), ('michelle dupre', 45), ('dorian alexander', 45)]",na,,,,,,,,,,,,,,
1309,devon,1,"[('don', 75), ('mike debonis', 72), ('davidson', 62), ('kristin dean', 60), ('don lemon', 57), ('don jr', 55), ('downey', 55), ('norah o donnell', 54), ('joshua denson', 54), ('dagen mcdowell', 54), ('bernard devalois', 54), ('daron shaw', 54), ('alfredo garzino demo', 54), ('mike dewine', 54), ('devi sridhar', 54), ('don milton', 54), ('deborah cao', 54), ('jin dongyan', 54), ('daniel reaven', 54), ('jan emmanuel de neve', 54)]",na,,,,,,,,,,,,,,
1337,don,1,"[('norah o donnell', 90), ('don milton', 90), ('don jr', 90), ('jin dongyan', 90), ('donovan mitchell', 90), ('donald tashkin', 90), ('donald milton', 90), ('brian donohoe', 90), ('jin dong yan', 90), ('donald trump trump', 90), ('kim dong yup', 90), ('donald j trump', 90), ('donald allegra', 90), ('christl donnelly', 90), ('donald trump', 90), ('michael donnino', 90), ('donna green', 90), ('dongcheng wu', 90), ('peter donnelly', 90), ('eugene o donnell', 90)]",na,,,,,,,,,,,,,,
1359,donnell,1,"[('norah o donnell', 90), ('don', 90), ('christl donnelly', 90), ('peter donnelly', 90), ('eugene o donnell', 90), ('carl o donnell', 90), ('lawrence o donnell', 90), ('kim yi dionne', 69), ('dagen mcdowell', 64), ('danielle anderson', 64), ('donna e shalala', 64), ('danielle stansky', 64), ('danielle ompad', 64), ('danielle citron', 64), ('danielle mcmullen', 64), ('downey', 62), ('don kettl', 62), ('donovan mitchell', 61), ('jodie dionne odom', 61), ('robert dunne', 60)]",na,,,,,,,,,,,,,,
1374,downey,1,"[('don', 67), ('david dowdy', 66), ('donnell', 62), ('norah o donnell', 60), ('dagen mcdowell', 60), ('mike dewine', 60), ('jin dongyan', 60), ('jack dorsey', 60), ('dawn emerick', 60), ('jin dong yan', 60), ('victoria dooley', 60), ('kim dong yup', 60), ('christl donnelly', 60), ('andrew dowdle', 60), ('peter donnelly', 60), ('eugene o donnell', 60), ('don lemon', 60), ('carl o donnell', 60), ('daron cowley', 60), ('kim yi dionne', 60)]",na,,,,,,,,,,,,,,Not a person
1375,drew,1,"[('drew pinsky', 90), ('david drew pinsky', 90), ('andrew dowdle', 90), ('drew hammill', 90), ('drew ferguson', 90), ('drew harris', 90), ('mike dewine', 68), ('derek horstmeyer', 68), ('geoffrey dreher', 68), ('neeltje van doremalen', 68), ('carolyn dresler', 68), ('douglas drevets', 68), ('deirdre shesgreen birx', 68), ('stanley deresinski', 68), ('derek gatherer', 68), ('darwin', 68), ('derek hill', 68), ('neil de wet', 68), ('kelvin droegemeier', 68), ('daniel w drezner', 68)]",na,,,,,,,,,,,,,,
1388,easter swander,2,"[('swan', 90), ('sanders', 77), ('katie sanderson', 69), ('sean', 68), ('kathryn sandberg', 67), ('bernie sanders', 64), ('steve adler', 64), ('megan sandel', 62), ('peter slavin', 62), ('peter staley', 62), ('nada sanders', 62), ('steffie woolhandler', 61), ('sanofi pasteur', 61), ('sandra emerson', 61), ('esther saggurthi', 60), ('edward schneider', 60), ('stephen anderson', 60), ('peter shulman', 59), ('sandeep garg', 59), ('sandra r hernandez', 59)]",na,,,,,,,,,,,,,,
1408,edward jenner,2,"[('edward', 90), ('edward jasper', 77), ('jennifer dowd', 73), ('edward moreno', 69), ('edward schneider', 69), ('edward chew', 67), ('edward foley', 64), ('kylie jenner', 64), ('edward j markey', 64), ('edzard ernst', 64), ('edward morris', 62), ('jennifer fisher', 61), ('niki edwards', 61), ('edward r utley', 60), ('edward dubovi', 60), ('edward j smith', 60), ('jolene', 60), ('edward richards', 60), ('edward damrose', 60), ('susan edwards', 59)]",na,,,,,,,,,,,,,,
1412,edward richards,2,"[('edward', 90), ('richard', 90), ('richard dawood', 72), ('edward morris', 71), ('edward chew', 69), ('rob richardson', 69), ('edward damrose', 69), ('richard coker', 67), ('rachael bedard', 66), ('richard pan', 66), ('richard keller', 66), ('richard besser', 66), ('edward schneider', 65), ('walter ricciardi', 65), ('richard fording', 64), ('edward foley', 64), ('richard ebright', 64), ('richard carmona', 64), ('richard brennan', 64), ('richard ostfeld', 64)]",na,,,,,,,,,,,,,,
1420,el cid,2,"[('alfonso xi el cid', 90), ('amged el hawrani', 86), ('el hawrani', 86), ('hisham el khider', 86), ('adil el tayar', 86), ('hishal el khidir', 86), ('abdul el sayed', 86), ('el khidir', 86), ('gabriel cade', 75), ('andrea crisanti', 60), ('jayme deerwester cdc', 60), ('jan emmanuel de neve', 60), ('james chin', 60), ('charles chiu', 60), ('emanuele cremaschi', 60), ('michael eisner', 60), ('emmanuel macron', 60), ('helen chu', 60), ('constance macintosh', 60), ('daniel connors', 60)]",na,,,,,,,,,,,,,,
1432,eleanor roosevelt,2,"[('tweed roosevelt', 75), ('theodore roosevelt', 74), ('margot roosevelt', 73), ('teddy roosevelt', 71), ('eleanor riley', 67), ('franklin d roosevelt', 66), ('gary ross', 60), ('karl rove', 60), ('jane rooney', 58), ('ron klain', 57), ('robert kelchen', 55), ('ellen kossek', 55), ('hilary rosen', 55), ('ari ercole', 54), ('darcy ross', 54), ('alan rowan', 54), ('i nelson rose', 53), ('rob gore', 53), ('euan tovey', 52), ('robert amler', 52)]",na,,,,,,,,,,,,,,
1447,elizabeth mitchell,2,"[('elizabeth joh', 78), ('elizabeth phelps', 76), ('elizabeth bihn', 75), ('michel', 75), ('elizabeth wang', 74), ('mitchell moss', 72), ('mitchell katz', 72), ('elizabeth talbot', 71), ('elizabeth scott', 71), ('elizabeth ransom', 68), ('elizabeth warren', 68), ('michelle au', 67), ('andrea mitchell', 67), ('elitza theel', 67), ('michelle a albert', 66), ('elizabeth douglass', 64), ('donovan mitchell', 64), ('elizabeth eckstrom', 64), ('elizabeth harrington', 64), ('melissa michelson', 63)]",na,,,,,,,,,,,,,,
1461,ellis cheever,2,"[('naomi whitehead ellis ford', 86), ('xi chen', 64), ('erik scherder', 62), ('denis chopera', 62), ('liz cheney', 61), ('everett', 61), ('claire wheeler', 59), ('everlywell', 58), ('elissa epel', 58), ('allison chamberlain', 56), ('james cherry', 56), ('chris williams', 56), ('roselle chen', 56), ('elitza theel', 56), ('eli fenichel', 56), ('william cherniak', 55), ('cohen', 54), ('nic cheeseman', 54), ('colin camerer', 54), ('catherine li', 53)]",na,,,,,,,,,,,,,,
1465,emanuel,1,"[('exekiel emanuel', 90), ('rahm emanuel', 90), ('emanuele cremaschi', 90), ('ezekiel emanuel', 90), ('zeke emanuel', 90), ('emmanuel andre', 77), ('jan emmanuel de neve', 77), ('emmanuel macron', 77), ('elliot berkman', 61), ('paul evans', 56), ('david eisenman', 51), ('jared a ellias', 51), ('emad eskandar', 51), ('elma ledoux', 51), ('tania elliott', 51), ('elaine chao', 51), ('osagie ehanire', 51), ('naomi whitehead ellis ford', 51), ('evan vucciap', 51), ('alexander edwards', 51)]",na,,,,,,,,,,,,,,
1480,emilio ribas,2,"[('rita', 68), ('emily farris', 67), ('michelle riba', 64), ('lillian riojas', 62), ('emily nichols', 56), ('emma frans', 55), ('kelly ripa', 55), ('elliot berkman', 54), ('elissa perkins', 54), ('richard greil', 53), ('tania elliott', 53), ('del rio', 53), ('emil verner', 52), ('sue elliot', 52), ('eileen crimmins', 52), ('emily erbelding', 52), ('michael ryan', 50), ('elizabeth ransom', 50), ('leif eric easley', 50), ('richard martinello', 50)]",na,,,,,,,,,,,,,,A infectious disease institute
1526,ernie e boyd,3,"[('bessey e geevarghese', 86), ('cathrine jansson boyd', 86), ('j wesley boyd', 61), ('ernie guzman', 56), ('eric wei', 56), ('angie bone', 55), ('daniel bober', 55), ('erica s shenoy', 54), ('bernie sanders', 54), ('bouey', 54), ('cisse egbuonye', 54), ('jamie e baker', 53), ('muriel bowser', 53), ('erik gordon', 52), ('beatriz perondi', 52), ('eric talley', 52), ('eric feigl ding', 52), ('nicole bouvier', 51), ('eugene cordero', 51), ('eric cioe pena', 51)]",na,,,,,,,,,,,,,,
1549,everett,1,"[('nicole errett', 64), ('ellis cheever', 61), ('everlywell', 59), ('emil verner', 56), ('erin burnett', 53), ('bessey e geevarghese', 51), ('eleanor roosevelt', 51), ('eric garcetti', 51), ('ebenezer tumban', 51), ('eva larue', 50), ('emily benfer', 49), ('ernie e boyd', 49), ('erica mighetto', 48), ('eugene tan', 47), ('jeff elder', 45), ('kacey ernst', 44), ('evan rieder', 44), ('mark escott', 44), ('erin hatton', 44), ('edzard ernst', 42)]",na,,,,,,,,,,,,,,
1550,everlywell,1,"[('e wesley ely', 61), ('everett', 59), ('ellis cheever', 58), ('emil verner', 48), ('todd eberly', 48), ('paul earley', 46), ('kelly evans', 46), ('naomi whitehead ellis ford', 45), ('jeffrey edleson', 45), ('eric wei', 44), ('holly ellyatt', 43), ('emily benfer', 43), ('larry ellison', 43), ('eleanor riley', 43), ('jeffrey engel', 43), ('easter swander', 42), ('erin m sorrell', 42), ('eva larue', 42), ('erika lee', 42), ('eliza barclay', 41)]",na,,,,,,,,,,,,,,
1561,farda,1,"[('homayoon farzadegan', 72), ('josh farkas', 72), ('farzad mostashari', 72), ('farhan bhatti', 72), ('jeremy farrar', 72), ('henry ford', 60), ('joseph fair', 60), ('robert b ford', 60), ('fatima', 55), ('pope francis', 54), ('fernando rodriguez artalejo', 54), ('marta feldmesser', 54), ('francesco giavazzi', 54), ('barbara ferrer', 54), ('paul franks', 54), ('fran mihaljevic', 54), ('frank snowden', 54), ('franck riester', 54), ('franco locatelli', 54), ('tom frieden', 54)]",na,,,,,,,,,,,,,,
1565,fatima,1,"[('matt frieman', 60), ('matthew frieman', 60), ('jahan fahimi', 60), ('david n fisman', 60), ('neil fishman', 60), ('antonio fatas', 60), ('david fisman', 60), ('abbey hardy fairbanks', 60), ('farda', 55), ('joseph fair', 54), ('veljko fotak', 50), ('liza fazio', 50), ('fahrettin koca', 50), ('robert faris', 50), ('lisa fazio', 50), ('frank mora', 50), ('fauci trump', 47), ('fang li', 46), ('faustus', 46), ('pope francis', 45)]",na,,,,,,,,,,,,,,
1567,fauci trump,2,"[('trump', 90), ('nicholas wu trump', 86), ('sara moniuszko fauci', 86), ('donald trump trump', 86), ('wuha donald trump', 86), ('michael collins fauci', 86), ('lara trump', 67), ('top trump', 67), ('eric trump', 67), ('will trump', 67), ('melania trump', 67), ('john trump', 64), ('ivanka trump', 61), ('donald trump', 61), ('anthnony fauci', 59), ('semansky fauci', 59), ('donald j trump', 59), ('anthony fauci', 59), ('john g trump', 59), ('fauci bobblehead', 59)]",na,,,,,,,,,,,,,,
1569,faustus,1,"[('jeremy faust', 75), ('fausto baldanti', 66), ('jeremy samuel faust', 64), ('fauci trump', 56), ('colin furness', 51), ('jean francois delfraissy', 51), ('antonio fatas', 51), ('fran unsworth', 50), ('semansky fauci', 49), ('fatima', 46), ('louis falo', 45), ('ruth faden', 45), ('anthony fauci', 45), ('anthnony fauci', 45), ('freddy sitas', 42), ('farzad mostashari', 42), ('josh farkas', 41), ('emily farris', 41), ('scott fauble', 41), ('ferguson', 40)]",na,,,,,,,,,,,,,,
1578,ferguson,1,"[('stephen ferguson', 90), ('prof ferguson', 90), ('drew ferguson', 90), ('neil m ferguson', 90), ('fermin leguen', 57), ('jonathan fulkerson', 56), ('fengyong liu', 56), ('fernando simon', 55), ('fred hutchinson', 52), ('freeborn', 50), ('tsion firew', 50), ('fred armisen', 50), ('frank snowden', 48), ('fran unsworth', 48), ('frank ong', 47), ('marty fentersheib', 45), ('fernando rodriguez artalejo', 45), ('christopher fagundes', 45), ('christopher foran', 45), ('magnus fiskesjo', 45)]",na,,,,,,,,,,,,,,
1582,fife,1,"[('tom frieden', 68), ('matt frieman', 68), ('alexander field', 68), ('matthew frieman', 68), ('norman fried', 68), ('jeffrey flier', 68), ('frieden', 68), ('jeffrey frankel', 68), ('prof ferguson', 68), ('mi feng', 68), ('thomas m file jr', 68), ('misha friedman', 68), ('tom friedrich', 68), ('ai fen', 68), ('tom friedman', 68), ('lisa friedman', 68), ('jennifer fisher', 68), ('jonathan fielding', 68), ('thomas file', 68), ('thomas frieden', 68)]",na,,,,,,,,,,,,,,
1587,fisher,1,"[('kristin fisher', 90), ('peter fisher', 90), ('karin fisher', 90), ('jennifer fisher', 90), ('dana fisher', 90), ('william fisher', 90), ('dale fisher', 90), ('julie fischer', 75), ('conrad fischer', 75), ('franck riester', 60), ('magnus fiskesjo', 60), ('jeffrey flier', 60), ('gary foster', 60), ('laurence fishburne', 60), ('tom friedrich', 60), ('paul friedrichs', 60), ('baruch fischhoff', 60), ('neil fishman', 60), ('christopher fraser', 60), ('carl fichtenbaum', 60)]",na,,,,,,,,,,,,,,
1591,fox,1,"[('matthew fox', 90), ('ellen f foxman', 90), ('andrew foxall', 90), ('ellen foxman', 90), ('james alan fox', 90), ('fox chase', 90), ('erin fox', 90), ('darby fox', 90), ('liam fox', 90), ('veljko fotak', 60), ('peter foley', 60), ('henry ford', 60), ('nestor forster', 60), ('patricia flood', 60), ('fiona godlee', 60), ('franklin foer', 60), ('christopher foran', 60), ('richard fording', 60), ('lai heng foong', 60), ('gary foster', 60)]",na,,,,,,,,,,,,,,
1592,fox chase,2,"[('fox', 90), ('james alan fox', 86), ('vanessa fonseca chavez', 67), ('bob chapek', 63), ('xi chen', 62), ('allison chamberlain', 60), ('arturo casadevall', 60), ('ricardo castaneda empathy', 60), ('john caskey', 60), ('chen xi', 59), ('howie choset', 57), ('oscar chavez', 57), ('matthew fox', 57), ('chesney fowler', 57), ('roxane cohen silver', 57), ('charles ornstein', 57), ('erin fox', 56), ('liam fox', 56), ('jon cohen', 56), ('joe chang', 56)]",na,,,,,,,,,,,,,,
1593,fran mihaljevic,2,"[('fang li', 64), ('frank mora', 63), ('mi feng', 61), ('michel', 60), ('frank farley', 59), ('misha friedman', 59), ('rohan miller', 59), ('fran phillips', 57), ('brian mehling', 57), ('ranit mishori', 57), ('farhan bhatti', 57), ('francesco giavazzi', 55), ('michael levitt', 55), ('francesca dominici', 55), ('michael ackerman', 55), ('michael green', 54), ('michael brown', 54), ('frank h wu', 54), ('michael baden', 54), ('frank riedo', 54)]",na,,,,,,,,,,,,,,hospital name
1604,francis crick institute,3,"[('pope francis', 86), ('francis riedo', 86), ('francis ware', 86), ('melissa francis', 86), ('diane francis', 86), ('francis balloux', 86), ('christina francis', 66), ('fritz francois', 61), ('cairns', 60), ('yi cui', 60), ('franck riester', 59), ('frank riedo', 58), ('cai yi', 57), ('chris spitters', 57), ('francisco garcia', 56), ('francesco dentali', 55), ('francesca torriani', 54), ('randy cron', 54), ('francesca dominici', 54), ('grace cary', 54)]",na,,,,,,,,,,,,,,
1631,fred hutchinson,2,"[('fred mills', 86), ('asa hutchinson', 79), ('colin hutchinson', 76), ('fred muench', 62), ('greg hunt', 60), ('tsion firew', 59), ('fred armisen', 59), ('fred buckner', 59), ('laura huckins', 57), ('norman fried', 56), ('hastings', 56), ('jeffrey henderson', 56), ('rod hochman', 54), ('farda', 54), ('robert harrison', 53), ('jeffrey p henderson', 53), ('peter chin hong', 53), ('frederick southwick', 53), ('ferguson', 52), ('freddy sitas', 52)]",na,,,,,,,,,,,,,,
1637,freeborn,1,"[('frieden', 67), ('matthew freeman', 60), ('daniel freeman', 60), ('joshua freeman', 60), ('thomas frieden', 60), ('will freeman', 60), ('thomas r frieden', 60), ('andrew freedman', 56), ('david freedman', 56), ('frederick southwick', 56), ('tom frieden', 53), ('frank esper', 53), ('fred muench', 53), ('fred buckner', 50), ('frank gabrin', 50), ('tsion firew', 50), ('ferguson', 50), ('fred armisen', 50), ('matt frieman', 48), ('matthew frieman', 48)]",na,,,,,,,,,,,,,,
1645,gabriel,1,"[('gabriel kahn', 90), ('gabriel said reynolds', 90), ('gabriel zucman', 90), ('gabriele tomasoni', 90), ('gabrielle farrell', 90), ('gabriella borter', 90), ('gabriel cade', 90), ('gabriel leung', 90), ('gabriel rauterberg', 90), ('gabriela andujar vazquez', 90), ('gabriele di luozzo', 90), ('gabrin', 77), ('craig garfield', 77), ('frank gabrin', 69), ('arnold vargas gabrin', 69), ('gabor kelen', 67), ('anne marie gloster', 64), ('gai peleg', 62), ('gail newel', 59), ('gary price', 59)]",na,,,,,,,,,,,,,,
1656,gabrielle farrell,2,"[('gabriel', 90), ('gabrin', 75), ('clare farrell', 73), ('gabriel cade', 69), ('gabriella borter', 67), ('henry farrell', 66), ('gabriel said reynolds', 63), ('gabriel rauterberg', 63), ('gabriel kahn', 62), ('gabriel leung', 60), ('gai peleg', 60), ('gabriele tomasoni', 59), ('gabriel zucman', 58), ('laurie garrett', 58), ('gabor kelen', 58), ('gabriele di luozzo', 57), ('bill gates', 54), ('farda', 54), ('gabriela andujar vazquez', 54), ('andrew foxall', 53)]",na,,,,,,,,,,,,,,
1657,gabrin,1,"[('frank gabrin', 90), ('arnold vargas gabrin', 90), ('gabriel', 77), ('gabriel kahn', 75), ('alfredo garzino demo', 75), ('gabriel said reynolds', 75), ('gabriel zucman', 75), ('gabriele tomasoni', 75), ('gabrielle farrell', 75), ('gabriella borter', 75), ('gabriel cade', 75), ('gabriel leung', 75), ('gabriel rauterberg', 75), ('gabriela andujar vazquez', 75), ('dana garfin', 75), ('gabriele di luozzo', 75), ('jon garon', 66), ('gary simon', 62), ('gavin boyle', 62), ('alexander l greninger', 60)]",na,,,,,,,,,,,,,,
1671,gary bergman,2,"[('gary bettman', 83), ('gray', 68), ('guan', 68), ('gary tearney', 67), ('robert gary', 66), ('gary simon', 64), ('gary cohan', 64), ('gary leroy', 64), ('carl bergstrom', 62), ('gregory rigano', 62), ('robert goldman', 62), ('greg rigano', 61), ('gary wagner', 61), ('greg martin', 61), ('gary foster', 61), ('gianna bern', 61), ('gladys berejiklian', 60), ('jeffrey bergstrand', 60), ('gary ross', 59), ('larry brilliant', 59)]",na,,,,,,,,,,,,,,
1713,george garcia,2,"[('george stephanopoulos', 86), ('george d yancopoulos', 86), ('george hw', 76), ('george diaz', 75), ('george tita', 75), ('george anesi', 72), ('george conway', 69), ('george zgourides', 69), ('george findlay', 67), ('george pink', 67), ('alex george', 67), ('george calhoun', 67), ('gregory gray', 64), ('george mason', 64), ('george e pataki', 64), ('george belch', 64), ('eric garcetti', 62), ('jose garcia lobera', 62), ('georges benjamin', 62), ('gene hartigan', 62)]",na,,,,,,,,,,,,,,
1714,george hw,2,"[('george yancopoulos', 86), ('george findlay', 86), ('george stephanopoulos', 86), ('george rutherford', 86), ('george d yancopoulos', 86), ('george washington', 86), ('george zgourides', 86), ('george weinhouse', 86), ('george findley', 86), ('george e pataki', 86), ('george loewenstein', 86), ('george bonanno', 86), ('george priestley', 86), ('george calhoun', 86), ('george w bush', 78), ('george diaz', 76), ('george conway', 76), ('george pink', 76), ('george garcia', 76), ('george mason', 76)]",na,,,,,,,,,,,,,,
1716,george mason,2,"[('george stephanopoulos', 86), ('george d yancopoulos', 86), ('george loewenstein', 86), ('george yancopoulos', 86), ('george calhoun', 77), ('george hw', 76), ('george washington', 76), ('george anesi', 75), ('george conway', 72), ('geoffrey annison', 71), ('george tita', 70), ('george diaz', 70), ('george pink', 70), ('georgine nanos', 69), ('george bonanno', 69), ('alex george', 67), ('ms ong', 66), ('george w bush', 64), ('george findlay', 64), ('george e pataki', 64)]",na,,,,,,,,,,,,,,
1723,george washington,2,"[('reutersyuri gripas washington', 86), ('george diaz', 86), ('reuterstom brenner washington', 86), ('george pink', 86), ('george hw', 86), ('alex george', 86), ('george tita', 86), ('george mason', 76), ('walsh', 72), ('george calhoun', 71), ('lisa lambert washington', 70), ('george anesi', 69), ('george w bush', 67), ('george weinhouse', 67), ('george bonanno', 65), ('georgine nanos', 65), ('george belch', 64), ('george loewenstein', 63), ('lord winston', 62), ('georges benjamin', 61)]",na,,,,,,,,,,,,,,
1729,georgetown law,2,"[('karen law', 86), ('george hw', 70), ('george conway', 67), ('george findlay', 64), ('george diaz', 64), ('george tita', 64), ('george bonanno', 64), ('george mason', 62), ('george anesi', 62), ('george belch', 62), ('george w bush', 59), ('george garcia', 59), ('george washington', 58), ('georgie silvarole', 58), ('gordon liu', 58), ('george findley', 57), ('georgine nanos', 57), ('george calhoun', 57), ('george pink', 56), ('tao lina', 56)]",na,,,,,,,,,,,,,,
1737,gergely roth,2,"[('greg roth', 76), ('george hw', 67), ('del rio', 64), ('george rutherford', 62), ('george tita', 61), ('george stephanopoulos', 60), ('geoffrey dreher', 59), ('robert gary', 58), ('rodney rohde', 58), ('george mason', 58), ('michael roth', 58), ('george belch', 58), ('gary ross', 57), ('geoffrey s gottlieb', 57), ('george priestley', 57), ('george w bush', 56), ('george conway', 56), ('george garcia', 56), ('raul roa', 56), ('greg brown', 55)]",na,,,,,,,,,,,,,,
1747,gibson,1,"[('shannon gibson', 90), ('kathleen gibson', 90), ('andrew gibson', 90), ('kate fitz gibbon', 75), ('maria rita gismondo', 75), ('michelle gibbons', 75), ('gianni bonelli', 60), ('sonia giusto', 60), ('michael giberson', 60), ('katherine gibney', 60), ('papa giovanni', 60), ('enrico giovannini', 60), ('ted gideonse', 60), ('giovanni rezza', 60), ('geoffrey annison', 60), ('george bonanno', 60), ('mark griswold', 60), ('giovanni orsina', 60), ('giovanni', 57), ('gail simmons', 56)]",na,,,,,,,,,,,,,,
1754,giovanni,1,"[('papa giovanni', 90), ('enrico giovannini', 90), ('giovanni rezza', 90), ('giovanni orsina', 90), ('gianni bonelli', 68), ('giuliani', 62), ('umesh gidwani', 60), ('gibson', 57), ('francesco giavazzi', 56), ('ginni mansberg', 56), ('rebecca kolins givan', 56), ('gianrico farrugia', 56), ('rebecca givan', 56), ('raj govindaiah', 56), ('gianpiero petriglieri', 56), ('angelo giupponi', 56), ('guan yi', 53), ('rio giardinieri', 53), ('gianna bern', 53), ('george anesi', 50)]",na,,,,,,,,,,,,,,
1764,glen iris,2,"[('glen stubbestar tribune', 86), ('glen meyerowitz', 86), ('glenn rice mcdonald', 70), ('glen mays', 67), ('guenter risse', 64), ('travis gayles', 61), ('gene ransom', 60), ('kathleen gibson', 60), ('john glendinning', 60), ('george priestley', 60), ('gilles verniers', 58), ('gen paul friedrichs', 57), ('charles s bullock iii', 57), ('charles stewart iii', 57), ('gul zaidi', 56), ('gaetan burgio', 55), ('gene hartigan', 55), ('glenn zaccara', 55), ('julie greicius', 52), ('gregory glenn', 52)]",na,,,,,,,,,,,,,,
1774,goldsmith,1,"[('stephen goldsmith', 90), ('kelly goldsmith', 90), ('good', 68), ('gregor smith', 67), ('tracey goldstein', 60), ('itay goldstein', 60), ('joel goldstein', 60), ('todd goldstein', 60), ('goodrich', 59), ('goldfein', 59), ('robert goldman', 56), ('amy goldstein', 55), ('jessica gold', 54), ('james t goodrich', 53), ('james goodrich', 53), ('gillian schmitz', 50), ('sara goldrick rab', 50), ('michael g schmidt', 50), ('gabriel said reynolds', 48), ('thomas gillespie', 48)]",na,,,,,,,,,,,,,,
1784,gordon,1,"[('erik gordon', 90), ('gordon mccord', 90), ('aubree gordon', 90), ('gordon wishart', 90), ('jay gordon', 90), ('joshua gordon', 90), ('gordon asmundson', 90), ('gordon h chang', 90), ('angok gordon kuol', 90), ('gordon liu', 90), ('david gordon', 90), ('gordon chang', 90), ('gordon wong', 90), ('good', 68), ('angela gardner', 60), ('ted gideonse', 60), ('jon garon', 60), ('lance gooden', 60), ('hector gonzalez', 60), ('lauren gardner', 60)]",na,,,,,,,,,,,,,,
1787,grace cary,2,"[('rachel clarke', 70), ('gray', 68), ('grace fusco', 67), ('gary price', 66), ('mariah carey', 64), ('william grace', 64), ('rachel cohrs', 64), ('cary cooper', 64), ('delia grace', 64), ('george conway', 61), ('clare gerada', 61), ('karen clay', 60), ('rae cooper', 60), ('barney graham', 58), ('gregory c gray', 58), ('prince charles', 58), ('charles gerba', 58), ('carolyn coyne', 58), ('german peces barba', 57), ('robert gary', 57)]",na,,Gettyimages source,,,,,,,,,,,,
