disambiguated_entity_id,entity_name,number_of_unique_news_appeared_in
2436317933,andrew blythe,2
28333573,bill bowtell,2
473957981,clare gerada,2
1365004373,vladimir putin,2
632496526,ami jones,2
2830443490,yvonne doyle,2
2956670815,geoffrey annison,2
2148014952,keith neal,2
43674942,sanjay gupta,2
1178243821,david persing,2
213714540,andrew preston,2
3878077197,rae cooper,2
2453038797,mike dewine,2
3554399752,angela rasmussen,2
2658410690,hassan rouhani,2
324868173,cary cooper,2
2490006003,hajira dambha miller,2
3083840310,damnha miller,2
1464883616,lorenzo grazioli,2
1590075706,dan suan,2
2066697375,david grabowski,2
2651308147,bhasha mukherjee,2
2472843360,mark veitch,2
2879228373,shondipon laha,2
4121978694,nestor forster,2
1585803235,tony bartone,2
3077178347,charles swanton,2
3228947608,deborah peel,2
1782914079,gabriel cade,2
257086138,leana wen,2
3711312921,arabia mollette,2
291187523,tim colbourn,2
78546836,francis ware,2
2041521304,nicole mccullough,2
2404699010,paul mckay,2
578950823,lara trump,2
716934319,javad amini saman,2
286162157,bob cooper,2
3253880457,peter graham,2
1423141536,filippo anelli,2
915513661,patrick vallance,2
1279721709,joanne medhurst,2
263225210,brendan crabb,2
2022773707,knut erik hovda,2
2777622567,mary louise mclaws,2
4095462578,prince charles,2
243042899,wendy barclay,2
2871038704,beth potter,2
4236096560,dominic raab,2
2486635124,sonya babu narayan,2
2700862704,sanjaya senanayake,2
626457221,thomas r frieden,2
2663500559,rob harwood,2
2381858974,larry marshall,2
847918914,nick coatsworth,2
131468522,mei zhongming,2
2138524527,yi guan,2
1784634597,sarah zaidi,2
2770490889,muriel bowser,2
304497535,karol sikora,2
79705045,fu meng khaw,2
3247948696,robert peston,2
1401425254,john huber,2
3233044757,scott rivkees,2
1717055432,chris spitters,2
4213021447,jose javier rodriguez,2
432740546,norio ohmagari,2
4142286458,james mcavoy,2
1958798455,oxiris barbot,2
2507195144,zhou min,2
81288235,duncan young,2
2053486307,jiang xueqing,2
2347006238,rhea liang,2
2372054074,timothy newsome,2
2006966165,clive hamilton,2
2940716415,neil m ferguson,2
227829167,joshua moon,2
2762602712,bryce evans,2
1147150056,yimmy chow,2
4213738852,john torres,2
3599432453,george findlay,2
3991615386,catriona greenwood,2
4021677111,nick phin,2
3354063604,liz cheney,2
4097412170,hugh montgomery,2
3765419426,rupert beale,2
3375710055,paul gosar,2
739101116,nathalie macdermott,2
2094433159,john harry smith,2
1809591082,arturo casadevall,2
825946368,jose luis alomia zegarra,2
1114115068,bethan webber,2
1212619778,lawrence young,2
3332758371,paul evans,2
1496254861,andrew weber,2
1613697478,elon musk,2
3962785068,simon judkins,2
411138994,gregory poland,2
154233006,paul franks,2
3000360845,andrew freedman,2
3727826517,john oxford,2
154593920,tom dodd,2
3669324773,yvonne griffiths,2
966965888,rishi sunak,2
3245935089,mukesh haikerwal,2
1054270420,siu ping lam,1
2836106301,alex hsu,1
1253558158,rob grenfell,1
3366464004,peter sinclair,1
1089071656,marya patrice sherron,1
2329269466,tom pyman,1
3416558827,daniel kuritzkes,1
4088735888,christopher r braden,1
606929718,li tan,1
1204726022,peter whiteford,1
55926745,nathaniel smith,1
1993564098,roland more,1
126650825,art mathisen,1
3764112100,jane povey,1
2580059115,catherine beanland,1
2729660080,arnold monto,1
2842908375,david hepburn,1
787004383,elaine chao,1
3314317317,juan bustamante,1
1550120554,gavin boyle,1
519012533,erin gustafson,1
2065868453,ava louise,1
761023166,bruce bradbury,1
1607449555,philip murphy,1
1859644288,ming lin,1
1936356097,david o reilly,1
2384410090,steven hotze,1
1260735333,jared burks,1
1535350604,lina hidalgo,1
351389091,ron desantis,1
2624469857,david eastwood,1
435383989,kious kelly,1
3442067995,emmanuel andre,1
3135712061,kevin brady,1
1247773365,janitha gowribalan,1
4018993174,glenn rice mcdonald,1
4046114371,karine le roch,1
2820291739,finola oneill,1
2772971284,jennifer haythe,1
1630240090,fryzlewicz,1
4290663442,terence rigby,1
3226830211,armand dorian,1
3467431871,ian comfort,1
2165789877,anish mahajan,1
2028826041,jonathan evans,1
3144246886,russell weg,1
2428628774,daniel scarparolo,1
1539102268,priti patel,1
3880386074,melanie saville,1
537922036,peter miller,1
1129604991,robertson davenport,1
52652268,bruce chapman,1
2098438597,thomas krajewski,1
3269400533,stephen moore,1
1018172848,philip o ozuah,1
1555210941,james t goodrich,1
734825090,brice de le vingne,1
3876393785,ross macdonald,1
3364320868,jennifer lo,1
3558879761,greg walden,1
2197141323,stelios haji ioannou,1
3798891877,mitch mcconnell,1
3359449927,kevin mccarthy,1
1827450637,larry kudlow,1
1863349322,lara keay ocado,1
569065921,patricia lohr,1
1712367989,mona barzin,1
2220972666,andrew rochford,1
778668881,dan crenshaw,1
2536488729,joseph eisenberg,1
1441198055,alexia harrist,1
