orig_index,raw_name,num_words,top20_candidates_with_score,possible_candidate
103,albert chan,2,"[('albert chang', 96), ('michelle a albert', 86), ('chant', 80), ('albert ko', 76), ('alberto dicochea', 74), ('amler', 72), ('robert cohen', 70), ('alex', 68), ('gary cohan', 67), ('kabrina chang', 67), ('carri chan', 67), ('walter cho', 67), ('art caplan', 67), ('albert rizzo', 67), ('alberto bisin', 67), ('albert williams', 67), ('alberto montaner', 67), ('alta charo', 67), ('jason oliver chang', 66), ('daniel alpert', 64)]",albert chang
117,alex,1,"[('alexander l greninger', 90), ('alex brandonap', 90), ('alexandre bayen', 90), ('dorian alexander', 90), ('alexia harrist', 90), ('alexandre white', 90), ('alexandra cirone', 90), ('alex horton', 90), ('alex scott', 90), ('alexander kekule', 90), ('alex greninger', 90), ('alex ward', 90), ('alexis mcgill johnson', 90), ('alexei navalny', 90), ('alex marlow', 90), ('alexander halavais', 90), ('nicole alexander scott', 90), ('alexa mieses', 90), ('alexey avdonin', 90), ('alexander isakov', 90)]",alex brandonap
121,alex brandon,2,"[('alex brandonap', 92), ('alex', 90), ('alex hsu', 86), ('brandon rottinghaus', 86), ('alex horton', 70), ('brandon brown', 70), ('alexey avdonin', 69), ('alex ward', 67), ('alexander', 67), ('zach branson', 67), ('alexandra cirone', 64), ('sylvie briand', 64), ('al franken', 64), ('alexander morden', 64), ('alex greninger', 62), ('danielle anderson', 62), ('alex appolonia', 62), ('alex tabarrock', 62), ('dorian alexander', 61), ('alex marlow', 61)]",alex brandonap
136,alexander,1,"[('alexander l greninger', 90), ('dorian alexander', 90), ('alexander kekule', 90), ('alexander halavais', 90), ('alex', 90), ('nicole alexander scott', 90), ('alexander isakov', 90), ('karl alexander', 90), ('alexander huang chieh cheng', 90), ('alexander edwards', 90), ('alexander billioux', 90), ('preeya alexander', 90), ('alexander scott', 90), ('alexander morden', 90), ('alexander field', 90), ('alexander lukashenko', 90), ('peter alexander', 90), ('alexandre bayen', 80), ('alexandre white', 80), ('alexandra cirone', 80)]",alexander huang chieh cheng
147,alexander scott,2,"[('nicole alexander scott', 95), ('alex', 90), ('alexander', 90), ('rick scott', 86), ('hal scott', 86), ('scott rein', 86), ('alex scott', 86), ('scott nass', 86), ('alexander huang chieh cheng', 86), ('scott pace', 86), ('alexander isakov', 77), ('sanders', 77), ('karl alexander', 74), ('scott allen', 73), ('alexandra sacks', 73), ('scott anderson', 72), ('alexander l greninger', 71), ('dorian alexander', 71), ('preeya alexander', 71), ('alexander field', 71)]",nicole alexander scott
161,alfonso xi,2,"[('alfonso xi el cid', 90), ('alfonso jimenez', 86), ('alonso aguirre', 67), ('ali', 60), ('ala', 60), ('alina alonso', 55), ('alison sinclair', 54), ('xiao xiao', 53), ('ali nouri', 53), ('william a jacobson', 51), ('joseph alsousou', 51), ('liz allen', 50), ('alfred kim', 50), ('allison aiello', 50), ('john xxiii', 50), ('alan jones', 50), ('afshon ostovar', 50), ('tim allen', 50), ('luo xianke', 50), ('alison pittard', 50)]",alfonso xi el cid
163,alfred,1,"[('alfredo garzino demo', 90), ('alfred kim', 90), ('alfred m wu', 90), ('al gore', 62), ('al franken', 62), ('henry albrecht', 60), ('manny alvarez', 60), ('jared a ellias', 60), ('alex', 60), ('linda alvarez', 60), ('angela caliendo', 60), ('andrew freedman', 60), ('ali', 60), ('roger alvarez', 60), ('angel almendros', 60), ('ala', 60), ('ashraf al qedra', 60), ('valerie arkoosh', 60), ('r michael alvarez', 57), ('fred armisen', 57)]",alfred m wu
167,ali,1,"[('alison sinclair', 90), ('munzer al khalil', 90), ('amir ali', 90), ('alison whelan', 90), ('ali khan', 90), ('harris ali', 90), ('andre kalil', 90), ('angela caliendo', 90), ('aline holmes', 90), ('ali moktad', 90), ('mark ali', 90), ('mohamed ali ibrahim', 90), ('ambrose talisuna', 90), ('ali nouri', 90), ('ambrose otau talisuna', 90), ('alice miranda ollstein', 90), ('anjali talwalkar', 90), ('alison tothy', 90), ('alison pittard', 90), ('mrs ali', 90)]",mohamed ali ibrahim
170,ali mokdad,2,"[('ali', 90), ('ali moktad', 90), ('ayatollah ali khamenei', 86), ('mohamed ali ibrahim', 86), ('ali khan', 67), ('mark ali', 64), ('nathalie macdermott', 63), ('syra madad', 60), ('allin khan', 60), ('ala', 60), ('al holland', 60), ('paul mckay', 60), ('atiya mosam', 57), ('halik malik', 57), ('mrs ali', 57), ('ki moran', 56), ('karla mckanders', 56), ('naji abumrad', 55), ('allon mordel', 55), ('salaj masand', 55)]",ali moktad
171,ali moktad,2,"[('ali', 90), ('ali mokdad', 90), ('ayatollah ali khamenei', 86), ('mohamed ali ibrahim', 86), ('ali khan', 67), ('mark ali', 64), ('nathalie macdermott', 63), ('atul malhotra', 61), ('allin khan', 60), ('ala', 60), ('al holland', 60), ('paul mckay', 60), ('alison pittard', 58), ('malliotakis', 57), ('atiya mosam', 57), ('halik malik', 57), ('tim montana', 57), ('mrs ali', 57), ('ki moran', 56), ('karla mckanders', 56)]",ali mokdad
