orig_index,raw_name,num_words,top20_candidates_with_score,possible_candidate
1215,david nace,2,"[('david a nace', 95), ('david blumenthal', 86), ('josue david cisneros', 86), ('david spiegelhalter', 86), ('david greenberg', 86), ('david battinelli', 86), ('david drew pinsky', 86), ('david grabowski', 86), ('david hargroves', 86), ('david clara amit', 86), ('david r williams', 86), ('david schonthal', 86), ('david muscatello', 86), ('david hirschwerk', 86), ('david r boulware', 86), ('david kimberlin', 86), ('david scheinker', 86), ('nicholas david thomas', 86), ('david l heymann', 86), ('david pawlowski', 86)]",david a nace
1230,david reich,2,"[('david l reich', 95), ('josue david cisneros', 86), ('david spiegelhalter', 86), ('david drew pinsky', 86), ('nicholas david thomas', 86), ('david llewellyn smith', 86), ('robert david siegel', 86), ('david price', 82), ('david archer', 78), ('david chao', 76), ('david ridpath', 75), ('david ho', 74), ('david merin', 73), ('david ryder', 73), ('david gregg', 73), ('david reese', 73), ('david berri', 73), ('david smith', 73), ('david levin', 73), ('david ziehr', 73)]",david l reich
1244,david smith,2,"[('david m smith', 95), ('robert david siegel', 86), ('josue david cisneros', 86), ('david spiegelhalter', 86), ('jamie lloyd smith', 86), ('david drew pinsky', 86), ('annelies wilder smith', 86), ('nicholas david thomas', 86), ('heather haynes smith', 86), ('david llewellyn smith', 86), ('davey smith', 82), ('david ridpath', 75), ('david ho', 74), ('david asman', 73), ('david merin', 73), ('david kamin', 73), ('david reich', 73), ('craig smith', 73), ('david ziehr', 73), ('edward j smith', 72)]",david m smith
1251,david thomas,2,"[('thomas', 90), ('nicholas david thomas', 90), ('josue david cisneros', 86), ('david spiegelhalter', 86), ('david ho', 86), ('david llewellyn smith', 86), ('robert david siegel', 86), ('thomas rid', 78), ('david tan', 76), ('anita thomas', 75), ('david magnus', 75), ('thomas tsai', 74), ('david agus', 73), ('jim thomas', 73), ('david chao', 73), ('david dosa', 73), ('david staples', 72), ('davis', 72), ('david holland', 72), ('thomas kim', 71)]",nicholas david thomas
1257,david williams,2,"[('david r williams', 95), ('williams', 90), ('william', 90), ('david kim', 86), ('david hui', 86), ('david ho', 86), ('david tan', 86), ('david ige', 86), ('patricia n whitley williams', 86), ('nicholas david thomas', 86), ('david llewellyn smith', 86), ('kari williams', 81), ('ian williams', 77), ('tim williams', 77), ('amanda williams', 76), ('david hill', 75), ('brie williams', 74), ('david wallace', 74), ('paul williams', 74), ('randall williams', 73)]",david r williams
1261,davidson,1,"[('rob davidson', 90), ('jenny davidson', 90), ('davis', 77), ('david jackson', 76), ('david ho', 75), ('david canon', 74), ('david asman', 74), ('david abramson', 73), ('beth davidow', 72), ('david tan', 71), ('david fisman', 70), ('david schonthal', 70), ('david sanger', 70), ('david gordon', 70), ('david larsen', 70), ('david benton', 70), ('kenneth davis', 69), ('david schwartz', 68), ('david spiegelhalter', 68), ('david sullivan', 68)]",jenny davidson
1262,davis,1,"[('steve davis', 90), ('kenneth davis', 90), ('brian davis', 90), ('anissa davis', 90), ('muntu davis', 90), ('paul davis', 90), ('marybeth davis baggett', 90), ('aaron c davis', 90), ('davidson', 77), ('david kim', 72), ('david a nace', 72), ('david schwartz', 72), ('david blumenthal', 72), ('david pierre', 72), ('david kroll', 72), ('david hui', 72), ('david lubarsky', 72), ('josue david cisneros', 72), ('david spiegelhalter', 72), ('david hill', 72)]",marybeth davis baggett
1265,de blasio,2,"[('mayor de blasio', 90), ('bill de blasio', 90), ('jan emmanuel de neve', 86), ('jose cassio de moraes', 86), ('brice de le vingne', 86), ('steven van de vijver', 86), ('saul coronado de leon', 86), ('anniek de ruijter', 86), ('geert de clercq', 86), ('ed bastian', 63), ('del rio', 62), ('uche blackstock', 60), ('david abramson', 60), ('alexander billioux', 60), ('richard branson', 60), ('douglas drevets', 57), ('andrew bates', 57), ('dena grayson', 57), ('douglas senderoff', 57), ('kyle bass', 56)]",mayor de blasio
1273,deborah,1,"[('deborah cao', 90), ('deborah l birx', 90), ('deborah brix', 90), ('deborah prothrow stith', 90), ('deborah peel', 90), ('deborah kunselman', 90), ('debra a goff', 64), ('jose cassio de moraes', 64), ('debra vasalech lyons', 64), ('debra wadford', 64), ('debra vaselech lyons', 64), ('cory deburghgraeve', 64), ('debra patt', 59), ('daniel bober', 53), ('norah o donnell', 51), ('minal dakhave bhosale', 51), ('dorian alexander', 51), ('dena chretien', 51), ('derek horstmeyer', 51), ('neeltje van doremalen', 51)]",deborah prothrow stith
1282,debra vasalech lyons,3,"[('debra vaselech lyons', 95), ('lyons', 90), ('debra a goff', 86), ('debra wadford', 86), ('debra patt', 86), ('vaselech lyons', 76), ('deborah', 64), ('marshall lyon', 62), ('brian long', 60), ('don', 60), ('lee', 60), ('dara kass', 60), ('neha vyas', 60), ('von der leyen', 59), ('ralph vassallo', 59), ('deborah cao', 58), ('darria long', 55), ('lucy jones', 54), ('lamas', 54), ('davis', 54)]",debra vaselech lyons
1283,debra vaselech lyons,3,"[('vaselech lyons', 95), ('debra vasalech lyons', 95), ('lyons', 90), ('debra a goff', 86), ('debra wadford', 86), ('debra patt', 86), ('deborah', 64), ('brian long', 60), ('don', 60), ('lee', 60), ('deborah peel', 60), ('dara kass', 60), ('neha vyas', 60), ('von der leyen', 59), ('deborah cao', 58), ('marshall lyon', 56), ('darria long', 55), ('lucy jones', 54), ('lamas', 54), ('davis', 54)]",debra vasalech lyons
1288,del rio,2,"[('carlos del rio', 90), ('javier del aguila', 86), ('rio giardinieri', 86), ('imani del valle', 86), ('roger goodell', 74), ('karine le roch', 64), ('andrew rochford', 64), ('andrew robertson', 64), ('angela rippon', 64), ('gergely roth', 64), ('charles dela cruz', 64), ('theodore roosevelt', 64), ('rodney rohde', 64), ('david l reich', 64), ('daniel brooks', 64), ('daniel kreiss', 64), ('bradley riemann', 64), ('angela rogers', 64), ('anne rimoin', 64), ('michael rich', 64)]",carlos del rio
1319,didier houssin,2,"[('diddiet houssin', 90), ('didier raoult', 67), ('david hui', 61), ('david persing', 59), ('david shulkin', 59), ('daniel leussink tokyo', 58), ('muhiuddin haider', 57), ('david oshinsky', 57), ('david ho', 56), ('david merin', 56), ('dominique thompson', 56), ('david closs', 56), ('david kimberlin', 55), ('daniel grossman', 55), ('dave chokshi', 54), ('david thomas', 54), ('david gorski', 54), ('david rosser', 54), ('hamel husain', 54), ('dominique heinke', 53)]",diddiet houssin
1337,don,1,"[('norah o donnell', 90), ('don milton', 90), ('don jr', 90), ('jin dongyan', 90), ('donovan mitchell', 90), ('donald tashkin', 90), ('donald milton', 90), ('brian donohoe', 90), ('jin dong yan', 90), ('donald trump trump', 90), ('kim dong yup', 90), ('donald j trump', 90), ('donald allegra', 90), ('christl donnelly', 90), ('donald trump', 90), ('michael donnino', 90), ('donna green', 90), ('dongcheng wu', 90), ('peter donnelly', 90), ('eugene o donnell', 90)]",don milton
1347,donald j trump,3,"[('donald trump trump', 95), ('donald trump', 95), ('trump', 90), ('don', 90), ('wuha donald trump', 87), ('charles j ogletree jr', 86), ('top trump', 86), ('john g trump', 69), ('john trump', 67), ('donald marks', 64), ('lara trump', 64), ('will trump', 64), ('eric trump', 64), ('ivanka trump', 62), ('don jr', 60), ('donald bolduc', 60), ('donald milton', 60), ('fauci trump', 59), ('melania trump', 59), ('sonal tuli', 58)]",donald trump trump
1352,donald trump,2,"[('donald j trump', 95), ('wuha donald trump', 95), ('donald trump trump', 90), ('don', 90), ('trump', 90), ('john trump', 73), ('top trump', 67), ('ivanka trump', 67), ('donald marks', 67), ('john g trump', 67), ('lara trump', 64), ('donald tashkin', 64), ('donald milton', 64), ('donald allegra', 64), ('sonal tuli', 64), ('donald schaffner', 64), ('eric trump', 64), ('will trump', 64), ('donald bolduc', 64), ('melania trump', 64)]",wuha donald trump
1359,donnell,1,"[('norah o donnell', 90), ('don', 90), ('christl donnelly', 90), ('peter donnelly', 90), ('eugene o donnell', 90), ('carl o donnell', 90), ('lawrence o donnell', 90), ('kim yi dionne', 69), ('dagen mcdowell', 64), ('danielle anderson', 64), ('donna e shalala', 64), ('danielle stansky', 64), ('danielle ompad', 64), ('danielle citron', 64), ('danielle mcmullen', 64), ('downey', 62), ('don kettl', 62), ('donovan mitchell', 61), ('jodie dionne odom', 61), ('robert dunne', 60)]",lawrence o donnell
1375,drew,1,"[('drew pinsky', 90), ('david drew pinsky', 90), ('andrew dowdle', 90), ('drew hammill', 90), ('drew ferguson', 90), ('drew harris', 90), ('mike dewine', 68), ('derek horstmeyer', 68), ('geoffrey dreher', 68), ('neeltje van doremalen', 68), ('carolyn dresler', 68), ('douglas drevets', 68), ('deirdre shesgreen birx', 68), ('stanley deresinski', 68), ('derek gatherer', 68), ('darwin', 68), ('derek hill', 68), ('neil de wet', 68), ('kelvin droegemeier', 68), ('daniel w drezner', 68)]",david drew pinsky
1379,drew pinsky,2,"[('david drew pinsky', 90), ('drew', 90), ('william w pinsky', 67), ('william pinsky', 67), ('george pink', 64), ('drew harris', 64), ('daniel winetsky', 62), ('darwin', 59), ('stanley deresinski', 58), ('andrew pekosz', 58), ('andrew preston', 56), ('david oshinsky', 56), ('andrew stanley pekosz', 55), ('mike dewine', 52), ('dean winslow', 52), ('drew hammill', 52), ('danielle stansky', 52), ('george priestley', 52), ('del rio', 51), ('the diamond princess', 50)]",david drew pinsky
1390,ebony hilton,2,"[('ebony hilton buchholz', 90), ('denis hamilton', 69), ('tony holohan', 67), ('clive hamilton', 62), ('cheryl healton', 62), ('bob harrington', 62), ('erin hatton', 61), ('rodney ho', 57), ('leong hoe nam', 56), ('henry ji', 56), ('ron hira', 56), ('lenox hill', 55), ('pan hwai tzong', 54), ('leung yiu hong', 54), ('brian hainline', 54), ('belo horizonte', 54), ('marci hamilton', 54), ('stephen hoption cann', 52), ('charlene harrington', 52), ('alex horton', 52)]",ebony hilton buchholz
1400,edward,1,"[('carla edwards', 90), ('kathryn edwards', 90), ('edward morris', 90), ('john bel edwards', 90), ('edward richards', 90), ('edward jasper', 90), ('edward r utley', 90), ('susan edwards', 90), ('edward jenner', 90), ('edward j smith', 90), ('alexander edwards', 90), ('edward schneider', 90), ('niki edwards', 90), ('edward foley', 90), ('edward chew', 90), ('edward dubovi', 90), ('edward damrose', 90), ('edward moreno', 90), ('edward j markey', 90), ('charles edwards', 90)]",edward schneider
1420,el cid,2,"[('alfonso xi el cid', 90), ('amged el hawrani', 86), ('el hawrani', 86), ('hisham el khider', 86), ('adil el tayar', 86), ('hishal el khidir', 86), ('abdul el sayed', 86), ('el khidir', 86), ('gabriel cade', 75), ('andrea crisanti', 60), ('jayme deerwester cdc', 60), ('jan emmanuel de neve', 60), ('james chin', 60), ('charles chiu', 60), ('emanuele cremaschi', 60), ('michael eisner', 60), ('emmanuel macron', 60), ('helen chu', 60), ('constance macintosh', 60), ('daniel connors', 60)]",alfonso xi el cid
1421,el hawrani,2,"[('amged el hawrani', 90), ('el cid', 86), ('alfonso xi el cid', 86), ('hisham el khider', 86), ('hishal el khidir', 86), ('angela hernandez', 63), ('maggie haberman', 63), ('gene hartigan', 61), ('han', 60), ('meilan han', 60), ('ali hassan', 60), ('erica hartmann', 58), ('william hartman', 57), ('emmanuel macron', 57), ('harris ali', 57), ('alan herman', 57), ('nadine burke harris', 57), ('margaret harris', 57), ('drew harris', 57), ('el tayar', 56)]",amged el hawrani
1422,el khidir,2,"[('hishal el khidir', 90), ('el cid', 86), ('alfonso xi el cid', 86), ('amged el hawrani', 86), ('hisham el khider', 86), ('abdul el sayed', 86), ('kamel khalili', 64), ('kim', 60), ('katherine kedzierska', 60), ('kiryas joel', 57), ('celeste kidd', 57), ('kendall kiser', 55), ('emmanuel andre', 53), ('el hawrani', 53), ('joe kvedar', 53), ('daniel kim', 53), ('lau ka hin', 53), ('adil el tayar', 52), ('munzer al khalil', 50), ('katherine henderson', 50)]",hishal el khidir
1423,el tayar,2,"[('tayar', 90), ('adil el tayar', 90), ('alfonso xi el cid', 86), ('amged el hawrani', 86), ('hisham el khider', 86), ('hishal el khidir', 86), ('abdul el sayed', 86), ('chloe taylor', 68), ('alex tabarrock', 68), ('steve taylor', 68), ('daniel taylor', 68), ('tara kirk sell', 64), ('paul tambyah', 60), ('tanya altmann', 57), ('li tan', 57), ('steven taylor', 57), ('daniel tokaji', 56), ('recep tayyip erdogan', 56), ('ji il tark', 56), ('emmanuel macron', 56)]",adil el tayar
1455,ellen foxman,2,"[('ellen f foxman', 95), ('fox', 90), ('erin fox', 68), ('will freeman', 58), ('ellie cannon', 58), ('ellen kossek', 58), ('neil fishman', 58), ('liam fox', 56), ('todd ellerin', 55), ('eugene tan', 55), ('james alan fox', 54), ('elliot berkman', 54), ('daniel freeman', 54), ('maureen ferran', 54), ('lai heng foong', 54), ('ellie cannon cannon', 52), ('elma ledoux', 52), ('eileen crimmins', 52), ('bruce a elleman', 52), ('ebenezer tumban', 52)]",ellen f foxman
1457,ellie cannon,2,"[('ellie cannon cannon', 90), ('cannon', 90), ('elaine chao', 70), ('paula cannon', 67), ('elaine larson', 64), ('shelley conroy', 62), ('mike catton', 61), ('david canon', 61), ('c william hanson', 61), ('carson', 60), ('michelle castaneda', 60), ('charlie swanton', 59), ('arielle charnas', 59), ('danielle citron', 59), ('carolyn hiller', 59), ('bill clinton', 58), ('felicia cohn', 58), ('roselle chen', 58), ('linda canina', 58), ('ellen foxman', 58)]",ellie cannon cannon
1465,emanuel,1,"[('exekiel emanuel', 90), ('rahm emanuel', 90), ('emanuele cremaschi', 90), ('ezekiel emanuel', 90), ('zeke emanuel', 90), ('emmanuel andre', 77), ('jan emmanuel de neve', 77), ('emmanuel macron', 77), ('elliot berkman', 61), ('paul evans', 56), ('david eisenman', 51), ('jared a ellias', 51), ('emad eskandar', 51), ('elma ledoux', 51), ('tania elliott', 51), ('elaine chao', 51), ('osagie ehanire', 51), ('naomi whitehead ellis ford', 51), ('evan vucciap', 51), ('alexander edwards', 51)]",exekiel emanuel
1496,eric mcdonald,2,"[('rice mcdonald', 92), ('eric wei', 86), ('glenn rice mcdonald', 81), ('ross mcdonald', 77), ('ross macdonald', 74), ('eric cioe pena', 67), ('mary hunter mcdonnell', 62), ('eric anderson', 62), ('eric toner', 61), ('eric topol', 61), ('medina', 60), ('erik gordon', 58), ('eric talley', 58), ('mitch mcconnell', 57), ('eric d ortenzio', 57), ('eric schuman', 56), ('eric baradat', 56), ('eric salazar', 56), ('eric golnick', 56), ('ki moran', 56)]",rice mcdonald
1498,eric rubin,2,"[('eric j rubin', 95), ('leif eric easley', 86), ('eric d ortenzio', 86), ('eric feigl ding', 86), ('fredric rabinowitz', 72), ('eric blank', 70), ('eric trump', 70), ('lewis rubinson', 67), ('marco rubio', 67), ('eric wei', 67), ('enrico bucci', 64), ('eric schuman', 64), ('erick eiting', 64), ('robin gurwitch', 64), ('eric horvitz', 64), ('yashica robinson', 63), ('erica pan', 63), ('eric garcetti', 61), ('erica groshen', 61), ('eric anderson', 61)]",eric j rubin
1506,eric wilke,2,"[('erik wilke', 90), ('leif eric easley', 86), ('eric d ortenzio', 86), ('eric feigl ding', 86), ('eric wei', 78), ('eric blank', 70), ('eric talley', 67), ('patrick walker', 67), ('henry walke', 67), ('kerri wizner', 64), ('eric golnick', 64), ('erika lee', 63), ('keith willett', 61), ('eric kasowski', 61), ('eric holbrook', 61), ('eric toner', 60), ('eric rubin', 60), ('nick white', 60), ('william cherniak', 60), ('eric topol', 60)]",erik wilke
1516,erik wilke,2,"[('eric wilke', 90), ('knut erik hovda', 86), ('erika lee', 74), ('william cherniak', 68), ('eric wei', 67), ('patrick walker', 67), ('henry walke', 67), ('kerri wizner', 64), ('keith willett', 61), ('nick white', 60), ('eric blank', 60), ('william petri', 58), ('kristen welker', 58), ('mark wilson', 57), ('nick wilson', 57), ('peter white', 57), ('eric talley', 57), ('rita wilson', 57), ('warwick knowles', 56), ('erin staples', 55)]",eric wilke
1551,exekiel emanuel,2,"[('ezekiel emanuel', 93), ('emanuel', 90), ('zeke emanuel', 81), ('rahm emanuel', 70), ('elaine kinsella', 57), ('eike steinmann', 55), ('jan emmanuel de neve', 54), ('kelly evans', 54), ('emil verner', 54), ('emily benfer', 52), ('eli fenichel', 52), ('ernie guzman', 52), ('elon musk', 50), ('eva larue', 50), ('elaine ganley', 50), ('emmanuel macron', 50), ('jeffrey engel', 50), ('emmanuel andre', 48), ('osagie ehanire', 48), ('eugene tan', 48)]",ezekiel emanuel
1553,ezekiel emanuel,2,"[('exekiel emanuel', 93), ('emanuel', 90), ('zeke emanuel', 89), ('rahm emanuel', 70), ('elaine kinsella', 57), ('eike steinmann', 55), ('jan emmanuel de neve', 54), ('kelly evans', 54), ('emil verner', 54), ('emily benfer', 52), ('eli fenichel', 52), ('ernie guzman', 52), ('elon musk', 50), ('eva larue', 50), ('elaine ganley', 50), ('emmanuel macron', 50), ('jeffrey engel', 50), ('emmanuel andre', 48), ('osagie ehanire', 48), ('eugene tan', 48)]",exekiel emanuel
1572,feigl ding,2,"[('eric feigl ding', 90), ('jonathan fielding', 63), ('michael dowling', 63), ('don', 60), ('tinglong dai', 55), ('zhang dingyu', 55), ('jake dunning', 55), ('neil fishman', 55), ('brice de le vingne', 54), ('michael donnino', 54), ('daniel fein', 54), ('robert dingwall', 54), ('jih fei cheng', 52), ('eli fenichel', 52), ('richard fording', 51), ('rafael felix espinoza', 51), ('elaine shuo feng', 51), ('benjamin f miller', 51), ('zuo feng zhang', 50), ('dario gil', 50)]",eric feigl ding
1578,ferguson,1,"[('stephen ferguson', 90), ('prof ferguson', 90), ('drew ferguson', 90), ('neil m ferguson', 90), ('fermin leguen', 57), ('jonathan fulkerson', 56), ('fengyong liu', 56), ('fernando simon', 55), ('fred hutchinson', 52), ('freeborn', 50), ('tsion firew', 50), ('fred armisen', 50), ('frank snowden', 48), ('fran unsworth', 48), ('frank ong', 47), ('marty fentersheib', 45), ('fernando rodriguez artalejo', 45), ('christopher fagundes', 45), ('christopher foran', 45), ('magnus fiskesjo', 45)]",stephen ferguson
1587,fisher,1,"[('kristin fisher', 90), ('peter fisher', 90), ('karin fisher', 90), ('jennifer fisher', 90), ('dana fisher', 90), ('william fisher', 90), ('dale fisher', 90), ('julie fischer', 75), ('conrad fischer', 75), ('franck riester', 60), ('magnus fiskesjo', 60), ('jeffrey flier', 60), ('gary foster', 60), ('laurence fishburne', 60), ('tom friedrich', 60), ('paul friedrichs', 60), ('baruch fischhoff', 60), ('neil fishman', 60), ('christopher fraser', 60), ('carl fichtenbaum', 60)]",jennifer fisher
1591,fox,1,"[('matthew fox', 90), ('ellen f foxman', 90), ('andrew foxall', 90), ('ellen foxman', 90), ('james alan fox', 90), ('fox chase', 90), ('erin fox', 90), ('darby fox', 90), ('liam fox', 90), ('veljko fotak', 60), ('peter foley', 60), ('henry ford', 60), ('nestor forster', 60), ('patricia flood', 60), ('fiona godlee', 60), ('franklin foer', 60), ('christopher foran', 60), ('richard fording', 60), ('lai heng foong', 60), ('gary foster', 60)]",james alan fox
1603,francis balloux,2,"[('francois balloux', 97), ('francis crick institute', 86), ('francine blau', 71), ('amani ballour', 71), ('pope francis', 70), ('francis ware', 70), ('bill', 68), ('francis riedo', 66), ('diane francis', 66), ('francois salachas', 62), ('melissa francis', 61), ('christina francis', 61), ('fox', 60), ('emma frances bloomfield', 60), ('francisco moreno', 58), ('francisco garcia', 58), ('franco locatelli', 58), ('daniel batlle', 57), ('alex billioux', 57), ('tim bale', 56)]",francois balloux
1638,frieden,1,"[('tom frieden', 90), ('thomas frieden', 90), ('thomas r frieden', 90), ('norman fried', 75), ('fife', 68), ('freeborn', 67), ('fred muench', 67), ('matthew freeman', 64), ('matt frieman', 64), ('matthew frieman', 64), ('daniel freeman', 64), ('joshua freeman', 64), ('misha friedman', 64), ('tom friedrich', 64), ('tom friedman', 64), ('lisa friedman', 64), ('jonathan fielding', 64), ('paul friedrichs', 64), ('will freeman', 64), ('gen paul friedrichs', 64)]",thomas r frieden
1645,gabriel,1,"[('gabriel kahn', 90), ('gabriel said reynolds', 90), ('gabriel zucman', 90), ('gabriele tomasoni', 90), ('gabrielle farrell', 90), ('gabriella borter', 90), ('gabriel cade', 90), ('gabriel leung', 90), ('gabriel rauterberg', 90), ('gabriela andujar vazquez', 90), ('gabriele di luozzo', 90), ('gabrin', 77), ('craig garfield', 77), ('frank gabrin', 69), ('arnold vargas gabrin', 69), ('gabor kelen', 67), ('anne marie gloster', 64), ('gai peleg', 62), ('gail newel', 59), ('gary price', 59)]",gabriel said reynolds
1657,gabrin,1,"[('frank gabrin', 90), ('arnold vargas gabrin', 90), ('gabriel', 77), ('gabriel kahn', 75), ('alfredo garzino demo', 75), ('gabriel said reynolds', 75), ('gabriel zucman', 75), ('gabriele tomasoni', 75), ('gabrielle farrell', 75), ('gabriella borter', 75), ('gabriel cade', 75), ('gabriel leung', 75), ('gabriel rauterberg', 75), ('gabriela andujar vazquez', 75), ('dana garfin', 75), ('gabriele di luozzo', 75), ('jon garon', 66), ('gary simon', 62), ('gavin boyle', 62), ('alexander l greninger', 60)]",arnold vargas gabrin
1711,george findlay,2,"[('george findley', 93), ('george stephanopoulos', 86), ('george hw', 86), ('george conway', 74), ('george diaz', 72), ('george pink', 72), ('george tita', 72), ('george garcia', 67), ('alex george', 67), ('james findlay', 67), ('george priestley', 67), ('georgie silvarole', 65), ('george mason', 64), ('george anesi', 64), ('georgetown law', 64), ('george belch', 64), ('george bonanno', 64), ('georgine nanos', 64), ('al gore', 61), ('george w bush', 60)]",george findley
1712,george findley,2,"[('george findlay', 93), ('george stephanopoulos', 86), ('george hw', 86), ('george priestley', 73), ('george pink', 72), ('george anesi', 69), ('alex george', 68), ('george diaz', 67), ('george conway', 67), ('george zgourides', 67), ('george weinhouse', 67), ('george tita', 67), ('georgie silvarole', 65), ('mark finley', 64), ('george mason', 64), ('george belch', 64), ('al gore', 61), ('george w bush', 60), ('ned foley', 60), ('george garcia', 60)]",george findlay
1725,george yancopoulos,2,"[('george d yancopoulos', 95), ('george diaz', 86), ('george pink', 86), ('george hw', 86), ('george mason', 86), ('george anesi', 86), ('alex george', 86), ('george belch', 86), ('george tita', 86), ('george stephanopoulos', 82), ('georgine nanos', 69), ('yuan', 68), ('yang', 68), ('george weinhouse', 65), ('george bonanno', 62), ('george calhoun', 62), ('meng yuan', 60), ('george w bush', 60), ('george conway', 60), ('george garcia', 60)]",george d yancopoulos
1727,georges benjamin,2,"[('georges c benjamin', 95), ('benjamin singer', 73), ('george bonanno', 73), ('benjamin chan', 72), ('benjamin sommers', 71), ('regina benjamin', 71), ('benjamin brunjes', 71), ('robert benjamin', 71), ('george hw', 70), ('benjamin clark', 69), ('benjamin wyler', 69), ('benjamin cowie', 69), ('benjamin bacon', 69), ('benjamin weston', 67), ('george pink', 67), ('georgine nanos', 67), ('benjamin neuman', 66), ('benjamin tausig', 66), ('benjamin lopman', 66), ('benjamin cowling', 66)]",georges c benjamin
1741,ghebreyesus,1,"[('tedros adhanom ghebreyesus', 90), ('tedros ahanom ghebreyesus', 90), ('adhanom ghebreyesus', 90), ('tedros ghebreyesus', 90), ('tedros adhanom ghebreyesu', 86), ('geoffrey leung', 56), ('george anesi', 52), ('george weinhouse', 52), ('jesse greenberg', 51), ('gabriel', 51), ('gerald keusch', 50), ('george w bush', 50), ('gary ross', 50), ('geoffrey s gottlieb', 50), ('gabriel leung', 50), ('greg brew', 50), ('george yancopoulos', 48), ('grete porteous', 48), ('garth reynolds', 48), ('samuel greene', 48)]",tedros adhanom ghebreyesus
1747,gibson,1,"[('shannon gibson', 90), ('kathleen gibson', 90), ('andrew gibson', 90), ('kate fitz gibbon', 75), ('maria rita gismondo', 75), ('michelle gibbons', 75), ('gianni bonelli', 60), ('sonia giusto', 60), ('michael giberson', 60), ('katherine gibney', 60), ('papa giovanni', 60), ('enrico giovannini', 60), ('ted gideonse', 60), ('giovanni rezza', 60), ('geoffrey annison', 60), ('george bonanno', 60), ('mark griswold', 60), ('giovanni orsina', 60), ('giovanni', 57), ('gail simmons', 56)]",kathleen gibson
1754,giovanni,1,"[('papa giovanni', 90), ('enrico giovannini', 90), ('giovanni rezza', 90), ('giovanni orsina', 90), ('gianni bonelli', 68), ('giuliani', 62), ('umesh gidwani', 60), ('gibson', 57), ('francesco giavazzi', 56), ('ginni mansberg', 56), ('rebecca kolins givan', 56), ('gianrico farrugia', 56), ('rebecca givan', 56), ('raj govindaiah', 56), ('gianpiero petriglieri', 56), ('angelo giupponi', 56), ('guan yi', 53), ('rio giardinieri', 53), ('gianna bern', 53), ('george anesi', 50)]",giovanni orsina
1758,giridhar babu,2,"[('giridhara r babu', 90), ('gloria balboa', 62), ('nisha basu', 61), ('richard briffault', 60), ('linda bauld', 58), ('brian labus', 58), ('richard brennan', 57), ('richard branson', 57), ('giorgio palu', 56), ('richa bhatia', 56), ('giri shankar', 56), ('richard benjamin', 55), ('richard bullough', 55), ('gerard krause', 54), ('oxiris barbot', 54), ('bob iger', 53), ('brett giroir', 53), ('richard binzel', 52), ('michael brauer', 52), ('richard besser', 52)]",giridhara r babu
1774,goldsmith,1,"[('stephen goldsmith', 90), ('kelly goldsmith', 90), ('good', 68), ('gregor smith', 67), ('tracey goldstein', 60), ('itay goldstein', 60), ('joel goldstein', 60), ('todd goldstein', 60), ('goodrich', 59), ('goldfein', 59), ('robert goldman', 56), ('amy goldstein', 55), ('jessica gold', 54), ('james t goodrich', 53), ('james goodrich', 53), ('gillian schmitz', 50), ('sara goldrick rab', 50), ('michael g schmidt', 50), ('gabriel said reynolds', 48), ('thomas gillespie', 48)]",stephen goldsmith
1775,good,1,"[('james t goodrich', 90), ('jesse l goodman', 90), ('steven goodman', 90), ('david goodsell', 90), ('suvajee good', 90), ('goodrich', 90), ('roger goodell', 90), ('james goodrich', 90), ('lance gooden', 90), ('stephen goldsmith', 68), ('erik gordon', 68), ('anna goldfarb', 68), ('goldsmith', 68), ('catriona greenwood', 68), ('tracey goldstein', 68), ('gordon mccord', 68), ('aubree gordon', 68), ('itay goldstein', 68), ('jeff goad', 68), ('gordon wishart', 68)]",suvajee good
1776,goodrich,1,"[('good', 90), ('james t goodrich', 90), ('james goodrich', 90), ('sara goldrick rab', 68), ('goldsmith', 59), ('gen paul friedrichs', 56), ('newt gingrich', 56), ('robin gurwitch', 56), ('lance gooden', 51), ('gregor smith', 50), ('goldfein', 50), ('george belch', 50), ('gordon chang', 50), ('jesse l goodman', 48), ('steven goodman', 48), ('roger goodell', 48), ('katelyn gostic', 48), ('george hw', 47), ('gretchen whitmer', 45), ('philip goulder', 45)]",james t goodrich
1778,gordon chang,2,"[('gordon h chang', 95), ('gordon', 90), ('jason oliver chang', 86), ('gordon wong', 78), ('chant', 72), ('jay gordon', 71), ('gordon liu', 71), ('ron chapman', 70), ('gordon wishart', 69), ('good', 68), ('joshua gordon', 68), ('erik gordon', 67), ('doo ryeon chung', 67), ('joe chang', 67), ('tom chang', 67), ('angok gordon kuol', 66), ('chandra ford', 64), ('gordon mccord', 64), ('aubree gordon', 64), ('gary cohan', 64)]",gordon h chang
1784,gordon,1,"[('erik gordon', 90), ('gordon mccord', 90), ('aubree gordon', 90), ('gordon wishart', 90), ('jay gordon', 90), ('joshua gordon', 90), ('gordon asmundson', 90), ('gordon h chang', 90), ('angok gordon kuol', 90), ('gordon liu', 90), ('david gordon', 90), ('gordon chang', 90), ('gordon wong', 90), ('good', 68), ('angela gardner', 60), ('ted gideonse', 60), ('jon garon', 60), ('lance gooden', 60), ('hector gonzalez', 60), ('lauren gardner', 60)]",angok gordon kuol
